"Date_calls,""calls"""
"5/22/2018,""1323"""
"5/23/2018,""1313"""
"5/24/2018,""1205"""
"5/25/2018,""1122"""
"5/26/2018,""603"""
"5/27/2018,""339"""
"5/28/2018,""510"""
"5/29/2018,""1157"""
"5/30/2018,""1195"""
"5/31/2018,""1194"""
"6/1/2018,""1189"""
"6/2/2018,""676"""
"6/3/2018,""330"""
"6/4/2018,""1123"""
"6/5/2018,""1201"""
"6/6/2018,""1218"""
"6/7/2018,""1265"""
"6/8/2018,""1294"""
"6/9/2018,""813"""
"6/10/2018,""410"""
"6/11/2018,""1389"""
"6/12/2018,""1304"""
"6/13/2018,""1209"""
"6/14/2018,""1287"""
"6/15/2018,""1111"""
"6/16/2018,""616"""
"6/17/2018,""378"""
"6/18/2018,""1271"""
"6/19/2018,""1252"""
"6/20/2018,""1281"""
"6/21/2018,""1265"""
"6/22/2018,""1144"""
"6/23/2018,""894"""
"6/24/2018,""549"""
"6/25/2018,""1300"""
"6/26/2018,""1262"""
"6/27/2018,""1320"""
"6/28/2018,""666"""
"6/29/2018,""705"""
"6/30/2018,""588"""
"7/1/2018,""369"""
"7/2/2018,""1432"""
"7/3/2018,""1349"""
"7/4/2018,""1288"""
"7/5/2018,""1356"""
"7/6/2018,""1391"""
"7/7/2018,""763"""
"7/8/2018,""476"""
"7/9/2018,""1382"""
"7/10/2018,""1286"""
"7/11/2018,""1267"""
"7/12/2018,""1328"""
"7/13/2018,""1294"""
"7/14/2018,""748"""
"7/15/2018,""561"""
"7/16/2018,""1496"""
"7/17/2018,""1445"""
"7/18/2018,""1445"""
"7/19/2018,""1391"""
"7/20/2018,""1348"""
"7/21/2018,""784"""
"7/22/2018,""454"""
"7/23/2018,""1414"""
"7/24/2018,""1419"""
"7/25/2018,""1368"""
"7/26/2018,""1391"""
"7/27/2018,""1389"""
"7/28/2018,""714"""
"7/29/2018,""475"""
"7/30/2018,""1463"""
"7/31/2018,""1320"""
"8/1/2018,""1475"""
"8/2/2018,""1432"""
"8/3/2018,""1542"""
"8/4/2018,""796"""
"8/5/2018,""538"""
"8/6/2018,""1578"""
"8/7/2018,""1558"""
"8/8/2018,""1709"""
"8/9/2018,""1608"""
"8/10/2018,""1223"""
"8/11/2018,""802"""
"8/12/2018,""649"""
"8/13/2018,""1781"""
"8/14/2018,""1669"""
"8/15/2018,""1617"""
"8/16/2018,""1602"""
"8/17/2018,""1642"""
"8/18/2018,""853"""
"8/19/2018,""550"""
"8/20/2018,""1740"""
"8/21/2018,""1455"""
"8/22/2018,""1504"""
"8/23/2018,""1403"""
"8/24/2018,""520"""
"8/25/2018,""583"""
"8/26/2018,""449"""
"8/27/2018,""1607"""
"8/28/2018,""1594"""
"8/29/2018,""1599"""
"8/30/2018,""1636"""
"8/31/2018,""1462"""
"9/1/2018,""860"""
"9/2/2018,""494"""
"9/3/2018,""1609"""
"9/4/2018,""1593"""
"9/5/2018,""1630"""
"9/6/2018,""1482"""
"9/7/2018,""1484"""
"9/8/2018,""932"""
"9/9/2018,""618"""
"9/10/2018,""1669"""
"9/11/2018,""1592"""
"9/12/2018,""1516"""
"9/13/2018,""1492"""
"9/14/2018,""1543"""
"9/15/2018,""904"""
"9/16/2018,""612"""
"9/17/2018,""1679"""
"9/18/2018,""1553"""
"9/19/2018,""1446"""
"9/20/2018,""1467"""
"9/21/2018,""1438"""
"9/22/2018,""903"""
"9/23/2018,""574"""
"9/24/2018,""1614"""
"9/25/2018,""1637"""
"9/26/2018,""1496"""
"9/27/2018,""1511"""
"9/28/2018,""1453"""
"9/29/2018,""885"""
"9/30/2018,""576"""
"10/1/2018,""1602"""
"10/2/2018,""1561"""
"10/3/2018,""1614"""
"10/4/2018,""1622"""
"10/5/2018,""1600"""
"10/6/2018,""849"""
"10/7/2018,""491"""
"10/8/2018,""1607"""
"10/9/2018,""1505"""
"10/10/2018,""1613"""
"10/11/2018,""1630"""
"10/12/2018,""1493"""
"10/13/2018,""979"""
"10/14/2018,""578"""
"10/15/2018,""926"""
"10/16/2018,""1661"""
"10/17/2018,""1713"""
"10/18/2018,""1668"""
